stage,path,relpath,size_bytes,modified
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\apple_heart_rate.csv,apple_heart_rate.csv,123082918,2025-10-22T14:38:14.950348Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\apple_heart_rate.csv.manifest.json,apple_heart_rate.csv.manifest.json,584,2025-10-22T14:38:21.428087Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\apple_sleep_intervals.csv,apple_sleep_intervals.csv,2005966,2025-10-22T14:38:21.541799Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\apple_sleep_intervals.csv.manifest.json,apple_sleep_intervals.csv.manifest.json,567,2025-10-22T14:38:21.618974Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\apple_state_of_mind.csv,apple_state_of_mind.csv,10324,2025-10-22T14:38:21.624528Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\apple_state_of_mind.csv.manifest.json,apple_state_of_mind.csv.manifest.json,572,2025-10-22T14:38:21.630537Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\ios\ios_usage_events.csv,ios\ios_usage_events.csv,54,2025-10-23T05:21:26.317238Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\ios\ios_usage_events_manifest.json,ios\ios_usage_events_manifest.json,295,2025-10-23T05:21:26.319250Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\ios\knowledgec_events_manifest.json,ios\knowledgec_events_manifest.json,295,2025-10-23T05:21:26.319250Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\parse.ok,parse.ok,748,2025-10-22T14:38:21.637716Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\zepp\zepp_emotion.csv,zepp\zepp_emotion.csv,40,2025-10-23T06:44:42.424874Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\zepp\zepp_emotion_manifest.json,zepp\zepp_emotion_manifest.json,358,2025-10-23T06:44:42.426879Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\zepp\zepp_hr.csv,zepp\zepp_hr.csv,14689233,2025-10-23T06:44:42.137591Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\zepp\zepp_hr_manifest.json,zepp\zepp_hr_manifest.json,764,2025-10-23T06:44:42.178897Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\zepp\zepp_hrv.csv,zepp\zepp_hrv.csv,40,2025-10-23T06:44:42.401325Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\zepp\zepp_hrv_manifest.json,zepp\zepp_hrv_manifest.json,354,2025-10-23T06:44:42.401325Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\zepp\zepp_sleep.csv,zepp\zepp_sleep.csv,4059,2025-10-23T06:44:42.421118Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\zepp\zepp_sleep_manifest.json,zepp\zepp_sleep_manifest.json,724,2025-10-23T06:44:42.422864Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\zepp\zepp_temperature.csv,zepp\zepp_temperature.csv,40,2025-10-23T06:44:42.428883Z
normalized,data\etl\P000001\snapshots\2025-10-22\normalized\zepp\zepp_temperature_manifest.json,zepp\zepp_temperature_manifest.json,362,2025-10-23T06:44:42.428883Z
processed,data\etl\P000001\snapshots\2025-10-22\processed\apple\etl_qc_summary.csv,apple\etl_qc_summary.csv,573,2025-10-22T18:30:18.194402Z
processed,data\etl\P000001\snapshots\2025-10-22\processed\apple\etl_qc_summary.csv.manifest.json,apple\etl_qc_summary.csv.manifest.json,474,2025-10-22T18:30:18.198424Z
processed,data\etl\P000001\snapshots\2025-10-22\processed\apple\etl_qc_summary_manifest.json,apple\etl_qc_summary_manifest.json,1977,2025-10-22T18:30:18.204439Z
processed,data\etl\P000001\snapshots\2025-10-22\processed\apple\etl_report.md,apple\etl_report.md,487,2025-10-22T18:30:18.208196Z
processed,data\etl\P000001\snapshots\2025-10-22\processed\apple\health_hr_daily.csv,apple\health_hr_daily.csv,43363,2025-10-25T00:25:10.431619Z
processed,data\etl\P000001\snapshots\2025-10-22\processed\apple\health_hr_daily.csv.manifest.json,apple\health_hr_daily.csv.manifest.json,372,2025-10-22T17:57:33.162927Z
processed,data\etl\P000001\snapshots\2025-10-22\processed\apple\health_hrv_sdnn_daily.csv,apple\health_hrv_sdnn_daily.csv,44,2025-10-25T00:22:12.311385Z
processed,data\etl\P000001\snapshots\2025-10-22\processed\apple\health_hrv_sdnn_daily.csv.manifest.json,apple\health_hrv_sdnn_daily.csv.manifest.json,372,2025-10-22T17:57:33.174937Z
processed,data\etl\P000001\snapshots\2025-10-22\processed\apple\health_sleep_daily.csv,apple\health_sleep_daily.csv,47,2025-10-25T00:22:12.320073Z
processed,data\etl\P000001\snapshots\2025-10-22\processed\apple\health_sleep_daily.csv.manifest.json,apple\health_sleep_daily.csv.manifest.json,372,2025-10-22T17:57:33.184980Z
processed,data\etl\P000001\snapshots\2025-10-22\processed\ios\ios_usage_daily.csv,ios\ios_usage_daily.csv,46,2025-10-23T05:28:29.267139Z
processed,data\etl\P000001\snapshots\2025-10-22\processed\zepp\zepp_emotion_daily.csv,zepp\zepp_emotion_daily.csv,44,2025-10-25T00:23:47.999355Z
processed,data\etl\P000001\snapshots\2025-10-22\processed\zepp\zepp_hr_daily.csv,zepp\zepp_hr_daily.csv,17714,2025-10-25T00:25:40.560858Z
processed,data\etl\P000001\snapshots\2025-10-22\processed\zepp\zepp_hrv_daily.csv,zepp\zepp_hrv_daily.csv,40,2025-10-25T00:23:47.996355Z
processed,data\etl\P000001\snapshots\2025-10-22\processed\zepp\zepp_sleep_daily.csv,zepp\zepp_sleep_daily.csv,40,2025-10-25T00:23:47.997359Z
processed,data\etl\P000001\snapshots\2025-10-22\processed\zepp\zepp_temperature_daily.csv,zepp\zepp_temperature_daily.csv,29,2025-10-25T00:23:48.000945Z
joined,data\etl\P000001\snapshots\2025-10-22\joined\features_daily.csv,features_daily.csv,61576,2025-10-25T00:31:18.738959Z
joined,data\etl\P000001\snapshots\2025-10-22\joined\features_daily_source.json,features_daily_source.json,558,2025-10-25T00:31:18.740968Z
joined,data\etl\P000001\snapshots\2025-10-22\joined\features_joined_ios_manifest.json,features_joined_ios_manifest.json,1209,2025-10-23T05:28:29.271155Z
joined,data\etl\P000001\snapshots\2025-10-22\joined\features_joined_zepp_manifest.json,features_joined_zepp_manifest.json,2056,2025-10-25T00:23:48.073278Z
